24/09/1994,4,10,17,21,29,37,9,R
28/09/1994,10,15,21,27,39,42,25,R
01/10/1994,4,10,17,21,29,37,9,R
05/10/1994,10,19,30,32,35,40,39,R
12/10/1995,21,24,30,31,33,42,34,R
15/10/1994,3,8,12,31,33,35,22,R
19/10/1994,2,3,5,6,14,34,24,R
22/10/1994,16,19,25,31,32,41,30,R
26/10/1994,3,5,11,27,31,37,1,R
29/10/1994,1,2,4,10,21,35,14,R
29/10/1994,4,5,10,13,33,36,12,S
02/11/1994,6,12,23,30,34,35,5,R
05/11/1994,5,17,25,31,37,40,13,R
09/11/1994,2,9,10,17,27,39,11,R
12/11/1994,4,11,15,17,21,41,16,R
16/11/1994,7,10,21,22,24,25,17,R
19/11/1994,3,8,10,31,36,39,2,R
23/11/1994,7,24,31,34,35,36,20,R
26/11/1994,1,16,19,35,36,37,29,R
30/11/1994,6,11,22,24,33,42,39,R
03/12/1994,4,6,12,24,34,35,17,R
07/12/1994,14,22,25,31,34,41,4,R
10/12/1994,13,14,23,26,31,34,29,R
14/12/1994,1,4,11,14,21,25,13,R
17/12/1994,3,4,6,7,20,23,22,R
21/12/1994,1,11,19,23,24,27,17,R
24/12/1994,4,9,11,14,16,17,37,R
28/12/1994,5,11,18,33,37,39,2,R
31/12/1994,18,22,28,34,41,42,2,R
04/01/1995,6,11,19,30,37,40,26,R
07/01/1995,1,22,24,31,33,41,9,R
11/01/1995,5,6,13,20,38,42,28,R
14/01/1995,6,9,14,34,35,39,38,R
18/01/1995,4,5,20,21,25,35,9,R
21/01/1995,4,8,9,13,18,30,14,R
25/01/1995,5,7,13,30,32,38,18,R
28/01/1995,2,7,13,14,30,32,28,R
01/02/1995,3,4,8,13,21,36,22,R
04/02/1995,16,17,18,23,26,34,24,R
08/02/1995,1,4,9,18,32,41,24,R
11/02/1995,12,16,19,20,23,26,25,R
15/02/1995,5,15,21,24,27,31,14,R
18/02/1995,9,24,32,37,38,39,23,R
22/02/1995,2,5,12,19,23,28,33,R
25/02/1995,4,5,14,16,32,41,35,R
01/03/1995,2,10,11,17,21,34,36,R
04/03/1995,9,11,13,17,20,42,33,R
08/03/1995,7,10,15,20,35,40,1,R
11/03/1995,4,6,8,14,35,37,18,R
15/03/1995,2,8,26,31,32,39,40,R
18/03/1995,1,8,9,15,22,36,19,R
18/03/1995,4,11,13,15,24,39,12,SP
22/03/1995,2,8,16,30,32,42,37,R
25/03/1995,1,3,7,30,37,38,12,R
29/03/1995,7,22,26,36,37,40,38,R
01/04/1995,1,20,32,34,35,37,27,R
05/04/1995,7,12,15,24,28,37,41,R
08/04/1995,20,22,26,29,31,41,23,R
12/04/1995,2,25,28,29,30,41,9,R
15/04/1995,14,17,28,29,35,38,3,R
19/04/1995,1,24,26,29,32,37,36,R
22/04/1995,9,10,11,13,22,29,41,R
26/04/1995,11,20,22,23,33,39,6,R
29/04/1995,11,16,24,25,28,29,35,R
03/05/1995,12,16,23,34,36,41,19,R
06/05/1995,12,16,24,27,34,36,10,R
10/05/1995,4,6,9,16,31,42,40,R
13/05/1995,4,5,14,24,29,38,19,R
17/05/1995,3,16,25,32,33,39,28,R
20/05/1995,15,20,21,32,36,39,7,R
24/05/1995,1,3,6,11,24,40,27,R
27/05/1995,4,14,18,35,36,40,41,R
